Year,Accidents: Total,Accidents: Fatal,"Fatal Accidents per 100,000 Departures",Fatalities: Total,Fatalities: Onboard
2000,49,2,0.018,89,89
2001,41,6,0.019,531,525
2002,34,0,0,0,0
2003,51,2,0.02,22,21
2004,23,1,0.009,13,13
2005,34,3,0.027,22,20
2006,26,2,0.019,50,49
2007,26,0,0,0,0
2008,19,0,0,0,0
2009,26,1,0.01,50,49
2010,28,0,0,0,0
2011,29,0,0,0,0
2012,23,0,0,0,0
2013,18,0,0,0,0
2014,29,0,0,0,0
2015,27,0,0,0,0
2016,26,0,0,0,0
2017,30,0,0,0,0
2018,28,1,0.011,1,1
2019,36,1,0.01,1,1
2020,10,0,0,0,0
2021,21,0,0,0,0
